EVENT_ID,STATE,YEAR,MONTH_NAME,TOR_F_SCALE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY
109019,ARKANSAS,2008,May,EF1,,-94.2772,,-94.2461,0,0,0,0,100.00K
109021,ARKANSAS,2008,May,EF0,,-93.7844,,-93.7844,0,0,0,0,0.00K
135190,NORTH CAROLINA,2008,September,EF0,,-77.1189,,-77.1109,0,0,0,0,75.00K
109776,KANSAS,2008,May,EF3,,-99.7264,,-99.5554,0,0,0,0,
137472,ALABAMA,2008,October,EF0,,-86.4719,,-86.4518,0,0,0,0,50.00K
110672,KANSAS,2008,May,EF0,,-100.2445,,-100.2759,0,0,0,0,0.00K
110676,KANSAS,2008,May,EF2,,-99.6187,,-99.5596,0,0,0,0,
110677,KANSAS,2008,May,EF2,,-99.5596,,-99.3702,0,0,0,0,
109758,KANSAS,2008,May,EF0,,-98.651,,-98.6499,0,0,0,0,0.00K
109759,KANSAS,2008,May,EF0,,-98.6359,,-98.6035,0,0,0,0,0.00K
135086,SOUTH CAROLINA,2008,November,EF0,,-80.542,,-80.5,0,0,0,0,10.00K
110659,KANSAS,2008,May,EF2,,-99.6918,,-99.6448,0,0,0,0,
